video,avg_color,max_color,min_color,avg_ltp,max_ltp,min_ltp,avg_brisque,max_brisque,min_brisque,avg_flickering,avg_blockiness,avg_blockloss,avg_blur,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_si,avg_ti,mos
A018.mp4,0.270160849,0.332119263,0.235257454,0.134415529,0.13516276,0.13361808,0.469083123,0.57115113,0.411033529,0.02063,0.00029,0.00349,0.07666,0.52689,0.36126,0.00811,0.06188,0.223309456,0.049111957,76.0205
A019.mp4,0.329396842,0.411032107,0.237170912,0.13247926,0.13532381,0.12700932,0.446335671,0.688133545,0.20489955,0.03631,0.00024,0.00893,0.08393,0.51562,0.42779,0.0033,0.01577,0.230951207,0.131512642,70.843
A020.mp4,0.293546575,0.300258739,0.284796293,0.132301056,0.13320655,0.13114378,0.510580523,0.531119971,0.482109953,0.07978,0.00027,0.01533,0.0495,0.49448,0.54168,0.01498,0.01194,0.373552254,0.070154816,77.7258
A021.mp4,0.255232046,0.311297147,0.200915265,0.109116272,0.1249116,0.09399877,0.674311676,0.815905616,0.517195282,0.08256,0.00018,0.04951,0.17721,0.42382,0.21841,0.00205,0.00937,0.050264388,0.029317946,37.6011
A022.mp4,0.32507438,0.402552786,0.188188681,0.132857066,0.13447745,0.13102214,0.482173151,0.632413871,0.32557733,0.01995,0.00023,0.01091,0.10441,0.51737,0.3605,0.00136,0.03033,0.135616342,0.096036533,38.674
A023.mp4,0.326781643,0.37766945,0.279917169,0.129234584,0.13306675,0.12612767,0.532589057,0.59858975,0.454773463,0.06449,0.00023,0.00279,0.05439,0.50068,0.47649,0.00954,0.012,0.244066971,0.083577611,69.0588
A024.mp4,0.342904594,0.400230625,0.286802995,0.128961965,0.13444216,0.12443668,0.577869052,0.7021737,0.468393508,0.07078,0.00027,0.00088,0.0601,0.51762,0.48033,0.00112,0.01106,0.27654357,0.104208099,71.962
A025.mp4,0.254572576,0.335624406,0.215408735,0.129500521,0.13233347,0.12547869,0.436594746,0.518117703,0.386919442,0.06054,0.00028,0.01488,0.06851,0.54159,0.37308,0.00168,0.01961,0.107165353,0.056394158,42.0856
A026.mp4,0.309314396,0.3549151,0.269739393,0.129908692,0.13204667,0.12806298,0.530823414,0.654611974,0.506438851,0.03934,0.00028,0.00622,0.05083,0.49454,0.2479,0.00204,0.03331,0.230883414,0.048343685,74.5397
A027.mp4,0.288389841,0.365634293,0.238246449,0.133412312,0.13433868,0.13208231,0.547863965,0.627376812,0.431748846,0.01848,0.00024,0.031,0.11474,0.52322,0.27941,0.00094,0.04157,0.139935191,0.082742926,56.3388
A028.mp4,0.213690405,0.300427104,0.130291399,0.129612292,0.13444353,0.12142407,0.700555251,0.892193061,0.496533381,0.0678,0.00027,0.00172,0.10152,0.34295,0.21141,0.00017,0.03351,0.053628241,0.021884169,41.5304
A029.mp4,0.248536037,0.281067482,0.214652981,0.131606103,0.1326864,0.13038137,0.446157167,0.485038336,0.413936645,0.01618,0.00024,0.0129,0.06261,0.52573,0.43924,0.00332,0.01826,0.243333734,0.102042996,75.3861
A030.mp4,0.346691259,0.371683849,0.322605169,0.132157203,0.13329256,0.13039234,0.477244437,0.628391209,0.340629716,0.04878,0.00028,0.00801,0.06209,0.49663,0.50942,0.0063,0.02655,0.264913909,0.066763866,81.5278
A031.mp4,0.306150702,0.364241978,0.260790049,0.133324819,0.13472588,0.13260965,0.573305315,0.630786699,0.376655097,0.04262,0.00027,0.00985,0.05351,0.49336,0.54572,0.00688,0.03423,0.396832944,0.161525538,62.1042
A032.mp4,0.305513823,0.375173965,0.209501207,0.135547165,0.13621368,0.13459327,0.526229409,0.816488129,0.35733362,0.01724,0.00027,0.00021,0.08211,0.5155,0.36369,0.00353,0.23911,0.230296229,0.12676109,74.3189
A033.mp4,0.260021875,0.281491907,0.2392871,0.127412126,0.1294987,0.12493318,0.422494763,0.471897148,0.400632003,0.08757,0.00027,0.01789,0.0615,0.49576,0.40296,0.00122,0.01406,0.17788343,0.016922502,71.7097
A034.mp4,0.291198295,0.360140121,0.233157891,0.132929914,0.13493147,0.13001645,0.457447406,0.634437372,0.293152966,0.04111,0.00026,0.00325,0.0865,0.50796,0.39193,0.00081,0.01507,0.123021141,0.066496675,80.4271
A035.mp4,0.339977274,0.406200952,0.269673142,0.129904648,0.13392544,0.12767544,0.453819142,0.580806358,0.395069875,0.05683,0.00027,0.00719,0.06563,0.50492,0.50372,0.00289,0.01876,0.192231945,0.051262853,85.0968
A036.mp4,0.263568103,0.305874955,0.208798014,0.125335351,0.12924616,0.11039097,0.44133709,0.606962975,0.334518105,0.07738,0.00027,0.01286,0.10248,0.49867,0.52437,0.00071,0.01206,0.198135012,0.080891938,46.6608
A037.mp4,0.270656884,0.346787424,0.204538686,0.130312629,0.1320453,0.12728995,0.444449366,0.514730926,0.377384439,0.08928,0.00023,0.00869,0.05526,0.50742,0.41732,0.01075,0.00306,0.20097993,0.052752994,77.5858
A038.mp4,0.294730761,0.35774288,0.249256704,0.12736869,0.12968099,0.12423006,0.60545542,0.678645456,0.465190391,0.0848,0.00021,0.019,0.12128,0.49597,0.3281,0.00051,0.01015,0.097900396,0.050937349,51.9195
A039.mp4,0.300760937,0.381535052,0.252818426,0.122902061,0.13117976,0.11227728,0.455209064,0.969637244,0.018369709,0.08645,0.00024,0.00513,0.09973,0.49943,0.60996,0.00187,0.0105,0.286226319,0.115776286,53.006
A040.mp4,0.221152201,0.338164139,0.129561681,0.130825739,0.1337548,0.12340735,0.557346186,0.709198816,0.375031799,0.01931,0.00026,0.00108,0.06929,0.5366,0.23372,0.00053,0.07109,0.069012172,0.041517042,50.3763
A041.mp4,0.279667821,0.349370053,0.198020974,0.127930777,0.13123287,0.12476186,0.486430939,0.71095156,0.267896668,0.04702,0.00026,0.0019,0.06417,0.59158,0.30248,0.00264,0.01754,0.133388374,0.057637741,35.1412
A042.mp4,0.257110953,0.274464213,0.235777845,0.135145947,0.13604441,0.13455763,0.434800163,0.491702056,0.392283091,0.02605,0.00027,4.00E-05,0.04509,0.55928,0.35266,0.00809,0.67085,0.360413512,0.094239524,76.8312
A043.mp4,0.308516823,0.458142872,0.192782304,0.127127042,0.13053694,0.12045847,0.53521445,0.641728547,0.479718151,0.03553,0.00023,0.00876,0.10329,0.50461,0.35046,0.00086,0.037,0.079688636,0.066805145,38.1554
A044.mp4,0.240566028,0.271494527,0.204970301,0.131542877,0.13287795,0.13012712,0.603895983,0.65615599,0.499507813,0.05017,0.00022,0.01884,0.13741,0.49468,0.37739,0.00221,0.01991,0.127545795,0.061861875,53.4333
A045.mp4,0.329308909,0.367461891,0.271821712,0.12781436,0.12965975,0.1261335,0.532783883,0.625649635,0.462226411,0.06418,0.00025,0.00597,0.0488,0.49856,0.50932,0.03039,0,0.265119851,0.081723789,81.9773
A046.mp4,0.320783809,0.360771417,0.281372071,0.128721103,0.13464741,0.12321066,0.687982139,1.058296917,0.175261071,0.07878,0.00026,0.00185,0.05651,0.48953,0.48514,0.03388,0.0233,0.253400675,0.08990371,69.1902
A047.mp4,0.210816935,0.306911743,0.150506784,0.112269905,0.12530428,0.10467448,0.597174291,0.711584612,0.483961325,0.09132,0.00025,0.00326,0.0553,0.50159,0.16876,0.0071,0.00481,0.122478559,0.047092975,58.4895
A048.mp4,0.334896481,0.395844053,0.204627737,0.131777935,0.13371676,0.12991913,0.476108345,0.643858535,0.295555726,0.04262,0.00026,0.00624,0.11112,0.50405,0.48052,0.00152,0.01837,0.179354215,0.106311233,72.3462
A049.mp4,0.258154327,0.3696424,0.135732018,0.132235796,0.13503838,0.12717516,0.663122071,0.754686677,0.425797688,0.02251,0.00027,0.00322,0.04494,0.51623,0.40792,0.0041,0.07324,0.229909564,0.089824953,72.2176
A050.mp4,0.311984681,0.381743161,0.238293662,0.131369798,0.13429688,0.12696546,0.519500897,0.630599383,0.348415668,0.05453,0.00024,0.01354,0.13083,0.50339,0.38106,0.00042,0.01543,0.122671418,0.082198298,48.0519
A051.mp4,0.212019119,0.238695409,0.179855161,0.126823043,0.1291276,0.12404365,0.487139364,0.58272573,0.429043957,0.05543,0.00023,0.00171,0.07082,0.50836,0.27065,0.00593,0.0135,0.15803094,0.049282724,80.2807
A052.mp4,0.242196091,0.29355561,0.1992133,0.107642326,0.12342448,0.09034025,0.676355881,0.952822854,0.30291768,0.07422,0.00024,0.0013,0.06035,0.49695,0.26221,0.00065,0.00405,0.236413616,0.049434769,44.8256
A053.mp4,0.319657085,0.33226528,0.302045672,0.134539205,0.13515488,0.1337315,0.51586799,0.597717057,0.494264143,0.04431,0.00028,0.00289,0.05666,0.50965,0.44916,0.0036,0.07215,0.301628081,0.068230212,67.0884
A054.mp4,0.327985165,0.351513212,0.305533059,0.131470632,0.13453742,0.12777001,0.634924181,0.685519104,0.571423412,0.04464,0.00028,0.00939,0.06948,0.50322,0.4993,0.00525,0.13585,0.257817647,0.071080958,76.1667
A055.mp4,0.305960557,0.362470862,0.224978264,0.126656277,0.12856805,0.12465735,0.458798353,0.543507676,0.323226156,0.08854,0.00027,0.00234,0.05634,0.45525,0.32154,0.00296,0.00876,0.181999896,0.079164831,53.8092
A056.mp4,0.303145527,0.388857835,0.190618321,0.129509232,0.13235574,0.12255791,0.648957608,0.823840451,0.51418993,0.07773,0.00025,0.00118,0.04435,0.52617,0.41536,0.00296,0.00674,0.143963989,0.049705991,52.3594
A057.mp4,0.238900425,0.282492904,0.209493785,0.129068595,0.13090803,0.12697505,0.435369792,0.503678026,0.379311857,0.01599,0.00025,0.01078,0.10051,0.5094,0.41778,0.00048,0.02001,0.092872452,0.048007846,66.4892
A058.mp4,0.322618027,0.396833416,0.227233969,0.129028936,0.13148814,0.12598958,0.491460852,0.558815702,0.344918107,0.021,0.00025,0.01066,0.11668,0.5013,0.33526,0.00011,0.01789,0.068195554,0.049703295,57
A059.mp4,0.32476031,0.353983575,0.290315433,0.134595842,0.13610574,0.13313836,0.497715741,0.669638771,0.279888593,0.03055,0.00027,0.00012,0.05748,0.50806,0.46377,0.00261,0.27181,0.281479301,0.089746877,74.2873
A060.mp4,0.303783258,0.352689943,0.231372352,0.133200753,0.13474575,0.13004694,0.41249507,0.640707851,0.322675315,0.06864,0.00023,0.00124,0.06798,0.50521,0.47305,0.04161,0.01037,0.346624703,0.126901811,63.1839
A061.mp4,0.313808963,0.418638091,0.138287935,0.13161663,0.13519086,0.11525425,0.50508857,0.689382135,0.294041531,0.04831,0.00026,0.00586,0.13283,0.49742,0.47931,0.00557,0.01374,0.186493169,0.137824936,56.4521
A062.mp4,0.278535539,0.364329446,0.179220447,0.133878637,0.13570895,0.13179619,0.498207694,0.934394525,0.216838649,0.02553,0.00026,0.00049,0.08252,0.52859,0.38546,0.03041,0.07137,0.259849482,0.13419524,47.5187
A063.mp4,0.331630636,0.346881691,0.315402969,0.092195263,0.10340735,0.08223856,0.658518633,0.843047746,0.623438409,0.08717,0.00026,0.01814,0.10002,0.49412,0.25323,0.00116,0.00031,0.199005797,0.017061131,44.8971
A064.mp4,0.266960391,0.309123321,0.215247067,0.132737875,0.13458436,0.13071649,0.665635823,0.741251278,0.537651652,0.06348,0.00028,0.01941,0.05831,0.49859,0.33909,0.00495,0.02752,0.274083849,0.118703602,49.8497
A065.mp4,0.251668447,0.347664527,0.198793001,0.128487959,0.13217311,0.12540947,0.45596507,0.493099306,0.407075691,0.07324,0.00025,0.0026,0.05503,0.51121,0.4517,0.02345,0.00936,0.236465803,0.075975845,81.8222
A066.mp4,0.261486067,0.361367279,0.176301234,0.129514,0.13211383,0.12717756,0.496661701,0.586341704,0.375873472,0.02011,0.00025,0.00645,0.10108,0.47494,0.23435,0.00112,0.01693,0.113652316,0.050356647,74.7647
A067.mp4,0.306118368,0.348858843,0.209304514,0.135377997,0.13600432,0.13432771,0.52797797,0.685235489,0.403863783,0.02331,0.00027,0.00304,0.07551,0.51342,0.46308,0.01305,0.07179,0.402017527,0.13558871,77.4551
A068.mp4,0.275685743,0.36819972,0.140005692,0.122517179,0.12688562,0.11996676,0.504005984,0.664106075,0.443109718,0.08161,0.00025,0.00632,0.0633,0.47923,0.30135,0.00548,0.0205,0.062035833,0.029269078,39.123
A069.mp4,0.28406831,0.36040123,0.216852548,0.132686007,0.13401042,0.1310331,0.859971426,1.130809736,0.698976523,0.05578,0.00028,0.00305,0.03875,0.50319,0.36345,0.0101,0.02421,0.310109172,0.084681057,49.4444
A070.mp4,0.272834299,0.3327714,0.177465062,0.127742104,0.13502981,0.12375308,0.461094843,0.55290139,0.368272575,0.06667,0.00026,0.00512,0.05674,0.5183,0.31827,0.02845,0.05897,0.269390148,0.093130222,65.4608
A071.mp4,0.321432405,0.371815119,0.264512083,0.13388581,0.13505928,0.13012438,0.484879692,0.522897538,0.433932565,0.03288,0.00027,0.00167,0.07174,0.50579,0.40873,0.00363,0.0902,0.166306594,0.067803856,74.1071
A072.mp4,0.236430355,0.39387375,0.145313761,0.109357975,0.12867496,0.07475706,0.669918252,0.824034924,0.523961021,0.0762,0.00019,0.05944,0.20187,0.48952,0.21312,0.00094,0.01035,0.043260545,0.036941982,20.4406
A073.mp4,0.305427069,0.325737872,0.285217826,0.133770164,0.13447334,0.13302974,0.416575689,0.454009452,0.384111015,0.05988,0.00027,0.00854,0.06036,0.51357,0.3354,0.00293,0.0153,0.210101325,0.048393391,91.1313
A074.mp4,0.230260026,0.387645424,0.127369797,0.129121087,0.13108518,0.11154126,0.610157621,0.774227096,0.438871659,0.02212,0.00026,0.005,0.08456,0.45119,0.23692,0.00015,0.0582,0.053024625,0.034777593,57.3204
A075.mp4,0.284845328,0.434995471,0.134130252,0.131526388,0.13509697,0.1118308,0.464808562,0.582898771,0.290336628,0.04526,0.00026,0.00389,0.12506,0.50078,0.41299,0.0005,0.02156,0.120888075,0.106662065,58.1867
A076.mp4,0.337650601,0.380873726,0.2799022,0.127146054,0.1310146,0.1202635,0.579073237,0.654476405,0.489799164,0.08402,0.00024,0.0259,0.05199,0.49612,0.55043,0.01053,0.00791,0.184294774,0.064385911,64.7835
A077.mp4,0.307160825,0.356744938,0.269422244,0.124860181,0.12786972,0.122549,0.518301324,0.602143108,0.456128444,0.06743,0.00023,0.0041,0.09651,0.51971,0.43325,0.00075,0.01199,0.142423481,0.032613949,74.4483
A078.mp4,0.32282218,0.47653726,0.121304192,0.133059189,0.13537281,0.1129643,0.603771225,0.925304505,0.159726745,0.02338,0.00024,0.00074,0.06307,0.50227,0.43235,0.00521,0.04415,0.263307853,0.124899992,38.8777
A079.mp4,0.333112051,0.352764142,0.308522633,0.133888768,0.13473958,0.1329057,0.410163194,0.427032323,0.380563744,0.02689,0.00028,0.01205,0.06037,0.49894,0.4287,0.00442,0.05821,0.249857275,0.053068977,81.0943
A080.mp4,0.325331801,0.377277464,0.248221321,0.110919701,0.13352865,0.0807158,0.491068209,0.632389349,0.431319848,0.07333,0.00024,0.00763,0.07741,0.50329,0.26177,0.00094,0.01571,0.139349957,0.04930092,39.2086
A081.mp4,0.229594813,0.286587214,0.162243864,0.130705602,0.13258087,0.12786732,0.508450268,0.604292635,0.379073788,0.01667,0.00025,0.01351,0.12325,0.49181,0.3667,0.00052,0.02979,0.087166221,0.059103529,75.7143
A082.mp4,0.338957553,0.361534484,0.312719095,0.132920126,0.13422526,0.13145525,0.652805238,0.754792541,0.518049583,0.06407,0.00027,0.01163,0.04579,0.49528,0.35594,0.00977,0.01798,0.28929801,0.074129712,87.0859
A083.mp4,0.308739437,0.357783563,0.272769874,0.132778775,0.13407723,0.13138775,0.516614213,0.679244965,0.321623116,0.04875,0.00026,0.02927,0.08429,0.54519,0.34579,0.00084,0.03672,0.142655046,0.040288104,46.3077
A084.mp4,0.228900501,0.291916616,0.183655254,0.086480248,0.10569147,0.06452782,0.901237906,1.008797096,0.79918614,0.09503,0.00015,0.0102,0.09663,0.48724,0.13091,0.00011,0,0.083173755,0.024874976,55.3835
A085.mp4,0.244337798,0.261100744,0.225653916,0.13179205,0.13280154,0.13051775,0.439563003,0.494775703,0.360204849,0.07883,0.00027,0.01248,0.06907,0.50573,0.4441,0.00084,0.01887,0.213636081,0.029635763,70.8486
A086.mp4,0.3031699,0.379572758,0.163472033,0.132386368,0.13536013,0.12845977,0.512178874,0.875681522,0.161225899,0.02438,0.00022,0.00738,0.08006,0.54014,0.35006,0.00075,0.02663,0.100842534,0.0818738,35.2749
A087.mp4,0.330928954,0.365970716,0.279861541,0.128025152,0.13056949,0.12654674,0.435470812,0.636228593,0.279525272,0.08171,0.00027,0.01283,0.07152,0.50414,0.52461,0.00173,0.01638,0.243893989,0.067419853,56.6415
A088.mp4,0.347055806,0.408544583,0.28404596,0.128361423,0.1328872,0.11670676,0.408844582,0.581709676,0.150007927,0.06904,0.00024,0.00401,0.07631,0.53221,0.38307,0.00541,0.01913,0.192977421,0.078103958,43.4892
A089.mp4,0.317622945,0.390876004,0.250660705,0.120445389,0.1279057,0.11531867,0.650107936,0.768921783,0.565004113,0.0934,0.00021,0.00562,0.11338,0.49058,0.46089,0.00103,0.00239,0.082638877,0.031767672,46.9444
A090.mp4,0.334579973,0.35567351,0.313308873,0.131587739,0.13327166,0.1301679,0.633973585,0.705993442,0.568053345,0.07041,0.00027,0.00567,0.04645,0.50516,0.42871,0.00917,0.01568,0.271859517,0.075433876,86.1709
A091.mp4,0.340747456,0.386081178,0.275700582,0.134349242,0.13519428,0.13344264,0.454353988,0.541593825,0.239374477,0.05726,0.00027,0.01679,0.07457,0.50184,0.35757,0.00064,0.13615,0.190880736,0.03731704,46.2238
A092.mp4,0.278868105,0.30201805,0.25966834,0.129771185,0.13145182,0.12821101,0.533927417,0.566199778,0.493097945,0.0839,0.00027,0.00947,0.05262,0.48185,0.48593,0.00376,0.00993,0.333546594,0.069191592,71.095
A093.mp4,0.346719977,0.38174201,0.305561545,0.133625472,0.13530667,0.13126062,0.491179022,0.646071944,0.375652577,0.0342,0.00028,0.00097,0.09135,0.49556,0.50765,0.0187,0.0164,0.325873744,0.185806467,66.9632
A094.mp4,0.29633669,0.420305963,0.184570749,0.124744333,0.13016413,0.11332682,0.5701734,0.645420189,0.458342857,0.08081,0.00027,0.00286,0.05622,0.44537,0.55042,0.00301,0.00845,0.355226191,0.156536408,52.3441
A095.mp4,0.294371365,0.359308574,0.194882712,0.129378506,0.13237527,0.12372327,0.468674877,0.734279813,0.379733147,0.08042,0.00025,5.00E-05,0.09186,0.49757,0.48174,0.02964,0.01181,0.247186237,0.080681427,71.5491
A096.mp4,0.28893584,0.354979359,0.185984177,0.13178083,0.13350603,0.12913686,0.558537978,0.621341058,0.449405218,0.06349,0.00023,0.00172,0.05836,0.51253,0.42798,0.01451,0.01446,0.176600756,0.089462434,66.5815
A097.mp4,0.323089965,0.363187507,0.267419055,0.131864679,0.13370957,0.12976974,0.416379524,0.583832234,0.313358564,0.05679,0.00027,0.0039,0.08412,0.48699,0.35276,0.00108,0.01615,0.175386748,0.066645995,66.4593
A098.mp4,0.344244338,0.369992848,0.31322943,0.131826441,0.13404365,0.12827097,0.479171873,0.614482531,0.200298318,0.06235,0.00028,0.00236,0.05344,0.49658,0.55319,0.00223,0.01817,0.224862667,0.052354083,85.8091
A099.mp4,0.234672711,0.352697336,0.105557865,0.125738931,0.13260691,0.11299068,0.521534616,0.679825986,0.403266584,0.06297,0.00022,0.01526,0.1135,0.53671,0.31874,0.00217,0.01163,0.092970076,0.060946431,46.1517
A100.mp4,0.335108489,0.399292947,0.187485936,0.132507229,0.13409025,0.12864104,0.605070722,1.0741152,0.374878431,0.04334,0.00027,0.00269,0.04976,0.50195,0.39837,0.01825,0.01493,0.289439507,0.101766395,46.6273
A101.mp4,0.295639522,0.321776847,0.265657858,0.133052519,0.13415604,0.1314878,0.558930873,0.622658875,0.384266411,0.01702,0.00026,0.00087,0.08923,0.52893,0.29581,0.00363,0.04608,0.181441386,0.077000717,69.3657
A102.mp4,0.253160878,0.28251409,0.222368553,0.125309011,0.12828296,0.122794,0.510392427,0.631276524,0.388965708,0.06101,0.00025,0.0167,0.0938,0.50461,0.26249,0.00283,0.01315,0.113585796,0.042283274,62.987
A103.mp4,0.283707289,0.401687222,0.161487917,0.130547462,0.13261719,0.12699767,0.462635759,0.679893728,0.27360706,0.03164,0.00027,0.00411,0.10855,0.50413,0.2837,0.00052,0.02159,0.062893219,0.045025973,71.6203
A104.mp4,0.343043996,0.383744213,0.302485804,0.128163211,0.13297423,0.1235749,0.463729934,0.547297723,0.409301648,0.07139,0.00026,0.01126,0.1074,0.49991,0.46778,0.00118,0.03064,0.120042588,0.038271567,50.385
A105.mp4,0.237987851,0.291719394,0.184250788,0.108011573,0.12555441,0.08987973,0.708321405,1.109898397,0.202025424,0.08352,0.00024,0.00274,0.05618,0.4956,0.28607,0.00171,0.00493,0.315551106,0.116871721,37.8824
A106.mp4,0.249857854,0.289285657,0.219004597,0.11992327,0.12543346,0.11656353,0.609056362,0.652199131,0.557619889,0.0931,0.00022,0.00417,0.07277,0.49708,0.1694,0.00111,0.00954,0.080656046,0.019948427,72.642
A107.mp4,0.323197966,0.410280372,0.154508596,0.128525466,0.13244894,0.11591591,0.455233761,0.634541728,0.389317187,0.02914,0.00026,0.02301,0.05277,0.50266,0.48492,0.01257,0.01745,0.348547653,0.147121522,81.6325
A108.mp4,0.301294567,0.362418435,0.244326306,0.129925503,0.13166701,0.12790193,0.508374169,0.599971421,0.369539495,0.05125,0.00022,0.01113,0.09856,0.54995,0.32654,0.00158,0.01319,0.092322791,0.047014553,35.8462
A109.mp4,0.298289361,0.384647957,0.183720677,0.117761246,0.12928797,0.0952378,0.688790418,0.811944931,0.49562719,0.07988,0.0002,0.01768,0.16158,0.48621,0.18572,0.00012,0.00836,0.060011217,0.041899395,36.5086
A110.mp4,0.32746309,0.338167212,0.316648463,0.126705915,0.12791667,0.12508498,0.504169316,0.554021599,0.442634211,0.08521,0.00025,0.01516,0.05211,0.49795,0.52456,0.00829,0.01476,0.247194721,0.012357483,87.8585
B001.mp4,0.344311966,0.43103737,0.253126651,0.08341012,0.118125,0.04435385,0.604031248,1.113904335,0.21014849,0.0625,0.00023,0.00463,0.07519,0.50844,0.58343,0.00219,0.01479,0.251324765,0.077894633,27.2485
B002.mp4,0.334423039,0.386267764,0.278502522,0.123612166,0.12464912,0.12140038,0.419327024,0.506042912,0.333883719,0.03472,0.00028,0.0013,0.07004,0.52356,0.38632,0.00244,0.03488,0.244050613,0.081187277,73.4245
B003.mp4,0.249197664,0.255520432,0.244545087,0.10898498,0.11357613,0.10568374,0.452323632,0.559485005,0.396177264,0.07842,0.00027,0.00181,0.07129,0.50935,0.37846,0.0029,0.02953,0.19410023,0.041751413,49.1111
B004.mp4,0.3034177,0.356891173,0.226352031,0.124007587,0.12530702,0.12136748,0.57563284,0.767596098,0.466391344,0.0257,0.00028,1.00E-05,0.06645,0.50348,0.41613,0.00782,0.42432,0.293108136,0.103707454,60.6719
B005.mp4,0.218734411,0.251898412,0.187588962,0.10066549,0.11320567,0.09366776,0.682001192,0.806861386,0.471757927,0.08256,0.00022,0.00218,0.06996,0.46443,0.12537,0.00452,0.01042,0.111039193,0.040994361,47.2959
B006.mp4,0.322497289,0.372892671,0.219257883,0.070839197,0.08745849,0.04411576,0.593795652,0.809144995,0.465904013,0.08569,0.00027,0.00681,0.06681,0.4943,0.27711,0.00496,0.01839,0.221508326,0.023880411,44.4845
